plant_name,plant_slug,unit_name,state,county,status,fuel_type,capacity_mw,technology,start_year,planned_retirement_year,retired_year
"A. B. Brown power station","A._B._Brown_Generating_Station","Unit 1",IN,Posey,"Retired&#91;2&#93;","coal: bituminous",265.2,subcritical,1979,,2023
"A. B. Brown power station","A._B._Brown_Generating_Station","Unit 2",IN,Posey,"Retired&#91;2&#93;","coal: bituminous",265.2,subcritical,1986,,2023
"A. B. Brown power station","A._B._Brown_Generating_Station","Unit 4",IN,Posey,"Operating&#91;3&#93;","fossil gas: natural gas, fossil liquids: fuel oil&#91;4&#93;",88,gas turbine&#91;3&#93;,1991,,
"A. B. Brown power station","A._B._Brown_Generating_Station","Unit 5",IN,Posey,"Operating&#91;3&#93;","fossil gas: natural gas&#91;3&#93;",88,gas turbine&#91;3&#93;,2002,,
"A. B. Brown power station","A._B._Brown_Generating_Station","Unit 6",IN,Posey,"Construction&#91;1&#93;&#91;5&#93;&#91;6&#93;&#91;7&#93;&#91;8&#93;","fossil gas: natural gas&#91;9&#93;&#91;10&#93;",248,gas turbine&#91;9&#93;&#91;10&#93;,2025,,
"A. B. Brown power station","A._B._Brown_Generating_Station","Unit 7",IN,Posey,"Construction&#91;1&#93;&#91;5&#93;&#91;6&#93;&#91;7&#93;&#91;8&#93;","fossil gas: natural gas&#91;9&#93;&#91;10&#93;",248,gas turbine&#91;9&#93;&#91;10&#93;,2025,,
"Antelope Valley Station","Antelope_Valley_Station","Unit 1",ND,Mercer,"Operating","coal: lignite",434.9,subcritical,1984,,
"Antelope Valley Station","Antelope_Valley_Station","Unit 2",ND,Mercer,"Operating","coal: lignite",434.9,subcritical,1986,,
"Baldwin Energy Station","Baldwin_Energy_Complex","Unit 1",IL,Randolph,"Operating","coal: subbituminous",625.1,subcritical,1970,2027,
"Baldwin Energy Station","Baldwin_Energy_Complex","Unit 2",IL,Randolph,"Operating","coal: subbituminous",634.5,subcritical,1973,2027,
"Baldwin Energy Station","Baldwin_Energy_Complex","Unit 3",IL,Randolph,"Retired","coal: subbituminous",634.5,subcritical,1975,,2019
"Barry Steam Plant","Barry_Steam_Plant","G521",AL,Mobile,"Operating&#91;1&#93;","fossil gas: natural gas&#91;1&#93;",535,combined cycle&#91;1&#93;,2000,,
"Barry Steam Plant","Barry_Steam_Plant","G522",AL,Mobile,"Operating&#91;1&#93;","fossil gas: natural gas&#91;1&#93;",535,combined cycle&#91;1&#93;,2000,,
"Barry Steam Plant","Barry_Steam_Plant","G523",AL,Mobile,"Operating&#91;3&#93;&#91;2&#93;&#91;4&#93;&#91;5&#93;&#91;6&#93;","fossil gas: natural gas&#91;7&#93;",774,combined cycle&#91;7&#93;,2023,,
"Barry Steam Plant","Barry_Steam_Plant","Unit 1, timepoint 1",AL,Mobile,"Retired","coal: bituminous",153.1,subcritical,1954,,2015
"Barry Steam Plant","Barry_Steam_Plant","Unit 1, timepoint 2",AL,Mobile,"Operating&#91;1&#93;","fossil gas: natural gas&#91;1&#93;",153.1,steam turbine&#91;1&#93;,2015,,
"Barry Steam Plant","Barry_Steam_Plant","Unit 2, timepoint 1",AL,Mobile,"Retired","coal: bituminous",153.1,subcritical,1954,,2015
"Barry Steam Plant","Barry_Steam_Plant","Unit 2, timepoint 2",AL,Mobile,"Operating&#91;1&#93;","fossil gas: natural gas&#91;1&#93;",153.1,steam turbine&#91;1&#93;,2015,,
"Barry Steam Plant","Barry_Steam_Plant","Unit 3",AL,Mobile,"Retired","coal: bituminous",272,subcritical,1959,,2015
"Barry Steam Plant","Barry_Steam_Plant","Unit 4, timepoint 1",AL,Mobile,"Retired&#91;10&#93;","coal: bituminous",403.7,subcritical,1969,,2022
"Barry Steam Plant","Barry_Steam_Plant","Unit 4, timepoint 2",AL,Mobile,"Operating&#91;12&#93;&#91;11&#93;&#91;13&#93;","fossil gas: natural gas&#91;10&#93;",403.7,steam turbine&#91;14&#93;,2022,,
"Barry Steam Plant","Barry_Steam_Plant","Unit 5",AL,Mobile,"Operating","coal: bituminous",788.8,supercritical,1971,2028,
"Belews Creek Steam Station","Belews_Creek_Steam_Station","Unit 1",NC,Stokes,"Operating","coal: bituminous, fossil gas: natural gas&#91;1&#93;",1080,supercritical,1974,2040,
"Belews Creek Steam Station","Belews_Creek_Steam_Station","Unit 2",NC,Stokes,"Operating","coal: bituminous, fossil gas: natural gas&#91;1&#93;",1080,supercritical,1975,2040,
"Belle River Power Plant","Belle_River_Power_Plant","12-1",MI,St Clair,"Operating&#91;1&#93;","fossil gas: natural gas&#91;1&#93;",85,gas turbine&#91;1&#93;,1999,,
"Belle River Power Plant","Belle_River_Power_Plant","12-2",MI,St Clair,"Operating&#91;1&#93;","fossil gas: natural gas&#91;1&#93;",85,gas turbine&#91;1&#93;,1999,,
"Belle River Power Plant","Belle_River_Power_Plant","13-1",MI,St Clair,"Operating&#91;1&#93;","fossil gas: natural gas&#91;1&#93;",85,gas turbine&#91;1&#93;,1999,,
"Belle River Power Plant","Belle_River_Power_Plant","Unit 1, timepoint 1",MI,St Clair,"Operating","coal: subbituminous",697.5,subcritical,1984,2025,
"Belle River Power Plant","Belle_River_Power_Plant","Unit 1, timepoint 2",MI,St Clair,"Pre-construction&#91;2&#93;&#91;4&#93;&#91;5&#93;&#91;6&#93;","fossil gas: natural gas&#91;2&#93;",697.5,steam turbine&#91;7&#93;,2025,,
"Belle River Power Plant","Belle_River_Power_Plant","Unit 2, timepoint 1",MI,St Clair,"Operating","coal: subbituminous",697.5,subcritical,1985,2026,
"Belle River Power Plant","Belle_River_Power_Plant","Unit 2, timepoint 2",MI,St Clair,"Pre-construction&#91;2&#93;&#91;4&#93;&#91;5&#93;&#91;6&#93;","fossil gas: natural gas&#91;2&#93;",697.5,steam turbine&#91;7&#93;,2025,,
"Big Brown Steam Electric Station","Big_Brown_Steam_Electric_Station","Unit 1",TX,Freestone,"Retired","coal: lignite",593.4,supercritical,1971,,2018
"Big Brown Steam Electric Station","Big_Brown_Steam_Electric_Station","Unit 2",TX,Freestone,"Retired","coal: lignite",593.4,supercritical,1972,,2018
"Bull Run Fossil Plant","Bull_Run_Fossil_Plant","Unit 1",TN,Anderson,"Retired&#91;1&#93;","coal: bituminous",950,supercritical,1967,,2023
"Cayuga Generating Station","Cayuga_Generating_Station","4",IN,Vermillion,"Operating&#91;1&#93;","fossil liquids: fuel oil, fossil gas: natural gas&#91;2&#93;",113,gas turbine&#91;1&#93;,1993,,
"Cayuga Generating Station","Cayuga_Generating_Station","Unit 1",IN,Vermillion,"Operating","coal: bituminous",531,subcritical,1970,2029,
"Cayuga Generating Station","Cayuga_Generating_Station","Unit 1R",IN,Vermillion,"Announced&#91;3&#93;&#91;4&#93;","fossil gas: natural gas&#91;4&#93;",719,combined cycle&#91;4&#93;,2030,,
"Cayuga Generating Station","Cayuga_Generating_Station","Unit 2",IN,Vermillion,"Operating","coal: bituminous",531,subcritical,1972,2030,
"Cayuga Generating Station","Cayuga_Generating_Station","Unit 2R",IN,Vermillion,"Announced&#91;3&#93;&#91;4&#93;","fossil gas: natural gas&#91;4&#93;",719,combined cycle&#91;4&#93;,2031,,
"Cholla Generating Station","Cholla_Power_Plant","Unit 1",AZ,Navajo,"Retired&#91;1&#93;","coal: bituminous",113.6,subcritical,1962,,2025
"Cholla Generating Station","Cholla_Power_Plant","Unit 2",AZ,Navajo,"Retired","coal: bituminous",288.9,subcritical,1978,,2015
"Cholla Generating Station","Cholla_Power_Plant","Unit 3",AZ,Navajo,"Retired&#91;1&#93;","coal: bituminous",312.3,subcritical,1980,,2025
"Cholla Generating Station","Cholla_Power_Plant","Unit 4",AZ,Navajo,"Retired","coal: bituminous",414,subcritical,1981,,2020
"Coal Creek Station","Coal_Creek_Station","Unit 1",ND,McLean,"Operating","coal: lignite",605,subcritical,1979,,
"Coal Creek Station","Coal_Creek_Station","Unit 2",ND,McLean,"Operating","coal: lignite",605,subcritical,1980,,
"Columbia Energy Center","Columbia_Energy_Center","Unit 1",WI,Columbia,"Operating","coal: subbituminous",556,subcritical,1975,2029,
"Columbia Energy Center","Columbia_Energy_Center","Unit 2",WI,Columbia,"Operating","coal: subbituminous",556,subcritical,1978,2029,
"Comanche power station","Comanche_Generating_Station","Unit 1",CO,,"Retired&#91;1&#93;","coal: subbituminous",382.5,subcritical,1973,,2022
"Comanche power station","Comanche_Generating_Station","Unit 2",CO,,"Operating","coal: subbituminous",396,subcritical,1975,2026,
"Comanche power station","Comanche_Generating_Station","Unit 3",CO,,"Operating","coal: subbituminous",856.8,supercritical,2010,2030,
"Conemaugh Generating Station","Conemaugh_Generating_Station","Unit 1",PA,Indiana,"Operating","coal: bituminous",936,supercritical,1970,2028,
